epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,15192,2.00988,1.67152,1.18416,0.26088,0.21646,0.18297,0.07033,2.06627,1.71177,1.23679,0.00406,0.00406,0.00406
62,15447.1,2.00337,1.65999,1.18621,0.26481,0.21734,0.1852,0.07088,2.06562,1.70606,1.23613,0.003961,0.003961,0.003961
63,15702.7,1.99168,1.66336,1.18095,0.26989,0.21704,0.18768,0.07182,2.06295,1.69554,1.23426,0.003862,0.003862,0.003862
64,15958.4,1.99582,1.658,1.17676,0.26485,0.21608,0.18612,0.07104,2.07046,1.70433,1.2377,0.003763,0.003763,0.003763
65,16214.1,1.99038,1.65612,1.1784,0.26851,0.20956,0.18499,0.07019,2.07921,1.7133,1.24165,0.003664,0.003664,0.003664
66,16470.6,1.99704,1.65144,1.17538,0.26281,0.2112,0.18338,0.0691,2.08869,1.72572,1.24697,0.003565,0.003565,0.003565
67,16728,1.99194,1.64878,1.1755,0.26426,0.21034,0.1837,0.06889,2.09352,1.7248,1.24908,0.003466,0.003466,0.003466
68,16982.1,1.98466,1.63891,1.177,0.2652,0.21246,0.1869,0.07024,2.08865,1.71395,1.24604,0.003367,0.003367,0.003367
69,17237.9,1.98583,1.64247,1.1715,0.25666,0.21253,0.18331,0.06868,2.0952,1.72241,1.24826,0.003268,0.003268,0.003268
70,17492.2,1.98763,1.64222,1.1765,0.25595,0.21165,0.18289,0.06857,2.09492,1.72024,1.24786,0.003169,0.003169,0.003169
71,17747.8,1.97501,1.63002,1.16996,0.25317,0.20938,0.18099,0.06789,2.09835,1.72598,1.24938,0.00307,0.00307,0.00307
72,18002.8,1.97379,1.62441,1.16877,0.25498,0.21127,0.1829,0.06832,2.10039,1.72486,1.25054,0.002971,0.002971,0.002971
73,18258.9,1.97488,1.61871,1.1658,0.26096,0.21218,0.18559,0.06955,2.09598,1.71328,1.24842,0.002872,0.002872,0.002872
74,18514,1.9644,1.61657,1.16827,0.26072,0.21334,0.18673,0.07,2.09532,1.70984,1.24797,0.002773,0.002773,0.002773
75,18771,1.97171,1.6176,1.16762,0.25924,0.21273,0.18645,0.0699,2.09679,1.70931,1.24817,0.002674,0.002674,0.002674
76,19015.4,1.96989,1.62661,1.16839,0.25795,0.21231,0.1857,0.06954,2.09955,1.71127,1.24909,0.002575,0.002575,0.002575
77,19259.2,1.94725,1.60538,1.16509,0.25917,0.21087,0.1857,0.0696,2.10093,1.71229,1.24971,0.002476,0.002476,0.002476
78,19502.1,1.95539,1.60292,1.16318,0.25881,0.21132,0.18612,0.06985,2.10165,1.71235,1.25022,0.002377,0.002377,0.002377
79,19746.2,1.96586,1.61964,1.16618,0.25981,0.21084,0.18632,0.06993,2.10195,1.71217,1.25051,0.002278,0.002278,0.002278
80,19989.4,1.95989,1.61645,1.16593,0.26281,0.21165,0.18826,0.07085,2.09755,1.70392,1.24843,0.002179,0.002179,0.002179
81,20233.7,1.95276,1.60014,1.1613,0.26539,0.21165,0.18931,0.07116,2.09766,1.70014,1.24818,0.00208,0.00208,0.00208
82,20473.8,1.93623,1.5869,1.1601,0.26541,0.21168,0.18948,0.07125,2.09972,1.70003,1.24895,0.001981,0.001981,0.001981
83,20724.3,1.93677,1.58618,1.15832,0.26626,0.21249,0.19042,0.07161,2.1003,1.69694,1.24916,0.001882,0.001882,0.001882
84,20971.6,1.93075,1.58178,1.15148,0.2685,0.2115,0.19059,0.07171,2.10269,1.69667,1.25005,0.001783,0.001783,0.001783
85,21216.9,1.93632,1.58008,1.15182,0.27113,0.20987,0.19091,0.07187,2.10381,1.69441,1.25018,0.001684,0.001684,0.001684
86,21473.2,1.9287,1.57598,1.15298,0.27135,0.21029,0.19157,0.07183,2.1047,1.69269,1.25031,0.001585,0.001585,0.001585
87,21731.5,1.92177,1.57299,1.15355,0.27359,0.21052,0.19254,0.072,2.10534,1.69118,1.25064,0.001486,0.001486,0.001486
88,21988.3,1.92635,1.56832,1.14992,0.27264,0.21027,0.1925,0.07196,2.10716,1.69142,1.2515,0.001387,0.001387,0.001387
89,22245.4,1.92152,1.56524,1.15086,0.27205,0.20986,0.19228,0.07179,2.10877,1.69227,1.25197,0.001288,0.001288,0.001288
90,22502.7,1.93181,1.56439,1.14958,0.2745,0.20903,0.19289,0.07193,2.11023,1.69167,1.25277,0.001189,0.001189,0.001189
91,22784.5,1.81371,1.35516,1.13652,0.27318,0.21142,0.19395,0.07232,2.10973,1.68718,1.25263,0.00109,0.00109,0.00109
92,23040.5,1.7895,1.30098,1.12596,0.27482,0.21125,0.19525,0.07281,2.10965,1.68105,1.25237,0.000991,0.000991,0.000991
93,23294.8,1.7806,1.28404,1.11739,0.27779,0.21261,0.197,0.0736,2.10813,1.67261,1.25141,0.000892,0.000892,0.000892
94,23550.8,1.76744,1.26779,1.11634,0.27985,0.21286,0.19828,0.07404,2.10959,1.66709,1.25194,0.000793,0.000793,0.000793
95,23806.4,1.7651,1.26447,1.11757,0.28352,0.21283,0.19972,0.0746,2.11005,1.661,1.25201,0.000694,0.000694,0.000694
96,24061.9,1.76021,1.25826,1.11386,0.28497,0.21309,0.20078,0.07503,2.11158,1.65549,1.25249,0.000595,0.000595,0.000595
97,24316.6,1.75037,1.24486,1.11077,0.28439,0.21533,0.20175,0.07547,2.1124,1.65074,1.25259,0.000496,0.000496,0.000496
98,24571.6,1.74991,1.24125,1.1105,0.28558,0.21513,0.20249,0.07574,2.1138,1.6461,1.25314,0.000397,0.000397,0.000397
99,24825.2,1.75174,1.24746,1.11024,0.28579,0.21626,0.20341,0.07611,2.11497,1.64141,1.25367,0.000298,0.000298,0.000298
100,25078.9,1.73851,1.22975,1.10474,0.28752,0.21696,0.20458,0.07653,2.11563,1.63662,1.25406,0.000199,0.000199,0.000199
